VOTER_ID_100,y_100_S
173833,1
219001,1
437161,1
343581,1
620443,1
396181,1
167642,1
316494,1
87796,1
956,1
351798,1
309700,1
277984,1
187118,1
4544,1
8856,1
394785,1
491058,1
66800,1
419146,1
286697,1
371885,1
395969,1
617434,1
348463,1
43875,1
160234,1
235165,1
277928,1
81634,1
180384,1
5475,1
238494,1
374686,1
635802,1
177669,1
176217,1
234503,1
248838,1
171461,1
549790,1
583048,1
355921,1
34754,1
414040,1
613237,1
311430,1
203995,1
60518,1
292364,1
578080,1
480473,1
51192,1
541325,1
101318,1
380807,1
395038,1
500224,1
220499,1
462772,1
297630,1
420307,1
158435,1
217677,1
315752,1
177489,1
452664,1
133659,1
621211,1
483852,1
627361,1
112611,1
193702,1
169543,1
180089,1
502781,1
617748,1
67296,1
457699,1
192786,1
618022,1
355313,1
445602,1
301102,1
586727,1
133605,1
263262,1
442168,1
399259,1
528035,1
188727,1
347773,1
424805,1
183107,1
68439,1
427275,1
442325,1
396241,1
396776,1
175199,1
